Time: 24.2180089951 seconds, RAM: 36.4140625 Mb.
Time: 24.5530390739 seconds, RAM: 36.34765625 Mb.
Time: 24.103659153 seconds, RAM: 36.53125 Mb.
Time: 24.103495121 seconds, RAM: 36.3203125 Mb.
Time: 24.4373438358 seconds, RAM: 36.4140625 Mb.
Time: 23.7793388367 seconds, RAM: 36.55078125 Mb.
Time: 24.3280379772 seconds, RAM: 36.265625 Mb.
Time: 23.8167800903 seconds, RAM: 36.52734375 Mb.
Time: 24.3056678772 seconds, RAM: 36.234375 Mb.
Time: 23.7334179878 seconds, RAM: 36.49609375 Mb.
