Time: 25.0729708672 seconds, RAM: 36.32421875 Mb.
Time: 23.9102489948 seconds, RAM: 36.41796875 Mb.
Time: 23.9753420353 seconds, RAM: 36.16015625 Mb.
Time: 25.234899044 seconds, RAM: 36.265625 Mb.
Time: 24.5431680679 seconds, RAM: 36.0859375 Mb.
Time: 24.2943878174 seconds, RAM: 36.43359375 Mb.
Time: 24.3297309875 seconds, RAM: 36.125 Mb.
Time: 24.1435959339 seconds, RAM: 36.41796875 Mb.
Time: 23.891575098 seconds, RAM: 36.16015625 Mb.
Time: 24.3919301033 seconds, RAM: 36.15234375 Mb.
Time: 24.5012340546 seconds, RAM: 36.6640625 Mb.
Time: 24.2674350739 seconds, RAM: 36.1640625 Mb.
Time: 24.3671851158 seconds, RAM: 36.65625 Mb.
Time: 24.0131158829 seconds, RAM: 36.1875 Mb.
Time: 24.0130610466 seconds, RAM: 36.16015625 Mb.
Time: 24.6384828091 seconds, RAM: 35.9453125 Mb.
Time: 24.083976984 seconds, RAM: 36.06640625 Mb.
Time: 23.8867211342 seconds, RAM: 36.390625 Mb.
Time: 24.5883100033 seconds, RAM: 36.37109375 Mb.
Time: 24.1495740414 seconds, RAM: 36.359375 Mb.
Time: 23.8749990463 seconds, RAM: 36.37109375 Mb.
Time: 24.6926589012 seconds, RAM: 36.25 Mb.
Time: 24.3865339756 seconds, RAM: 36.28515625 Mb.
Time: 23.8889229298 seconds, RAM: 36.2734375 Mb.
Time: 23.7617459297 seconds, RAM: 36.15234375 Mb.
Time: 23.7180719376 seconds, RAM: 36.21484375 Mb.
Time: 24.3185479641 seconds, RAM: 36.2890625 Mb.
Time: 24.7305269241 seconds, RAM: 36.390625 Mb.
Time: 24.5136590004 seconds, RAM: 36.24609375 Mb.
Time: 24.0548081398 seconds, RAM: 36.30078125 Mb.
Time: 24.0329470634 seconds, RAM: 36.32421875 Mb.
Time: 24.2426869869 seconds, RAM: 36.39453125 Mb.
Time: 23.9347200394 seconds, RAM: 36.29296875 Mb.
Time: 23.8012058735 seconds, RAM: 35.9609375 Mb.
Time: 24.1789941788 seconds, RAM: 36.57421875 Mb.
Time: 23.9106769562 seconds, RAM: 36.55078125 Mb.
Time: 23.8124089241 seconds, RAM: 36.27734375 Mb.
Time: 24.2730360031 seconds, RAM: 36.203125 Mb.
Time: 23.7938640118 seconds, RAM: 36.390625 Mb.
Time: 23.636220932 seconds, RAM: 36.17578125 Mb.
Time: 24.241975069 seconds, RAM: 36.2578125 Mb.
Time: 23.8582451344 seconds, RAM: 36.25390625 Mb.
Time: 23.9002890587 seconds, RAM: 36.1953125 Mb.
Time: 24.2308459282 seconds, RAM: 36.44921875 Mb.
Time: 24.5896351337 seconds, RAM: 36.44921875 Mb.
Time: 24.6358590126 seconds, RAM: 36.5390625 Mb.
Time: 24.3172271252 seconds, RAM: 36.38671875 Mb.
Time: 24.6881000996 seconds, RAM: 36.1875 Mb.
Time: 23.7756252289 seconds, RAM: 36.1640625 Mb.
Time: 24.5393509865 seconds, RAM: 36.796875 Mb.
Time: 24.1641361713 seconds, RAM: 36.390625 Mb.
Time: 24.5688419342 seconds, RAM: 36.24609375 Mb.
Time: 24.3229179382 seconds, RAM: 36.265625 Mb.
Time: 24.3622510433 seconds, RAM: 36.39453125 Mb.
Time: 24.8429379463 seconds, RAM: 36.54296875 Mb.
Time: 24.0534501076 seconds, RAM: 36.3359375 Mb.
Time: 24.4921331406 seconds, RAM: 36.48828125 Mb.
Time: 23.9713380337 seconds, RAM: 36.10546875 Mb.
Time: 24.2540800571 seconds, RAM: 36.1640625 Mb.
Time: 24.721200943 seconds, RAM: 36.078125 Mb.
